,Comment,KOREAN / ÇÑ±¹¾î,ENGLISH,JAPANESE / ìíÜâåŞ,SIMPLIFIED CHINESE / ??ñéÙş,TRADITIONAL CHINESE / Ûåô÷ñéÙş,GERMAN / DEUTSCH,SPANISH / ESPANOL,PORTUGUESE / PORTUGUES (BR),RUSSIAN / ¬²¬µ¬³¬³¬¬¬ª¬«,POLISH / POLSKI,FRENCH / FRANCAIS
label/inventory/discardItemConfirm,,Á¤¸»·Î ÆÄ±«ÇÏ½Ã°Ú½À´Ï±î?,Really destroy it?,Üâ?ªË÷ò?ª·ªŞª¹ª«£¿,??İÂú°?£¿,?îÜé©Ş×Ñ¥?£¿,Mochtest du den Gegenstand wirklich entsorgen?,¢¯Seguro que quieres destruirlo?,Destruir mesmo?,¬¥¬Ö¬Û¬ã¬ä¬Ó¬Ú¬ä¬Ö¬İ¬î¬ß¬à ¬å¬ß¬Ú¬é¬ä¬à¬Ø¬Ú¬ä¬î?,Na pewno chcesz to wyrzuci??,Es-tu sur de vouloir effectuer cette suppression ?
label/inventory/discardItem,,ÆÄ±«ÇÏ±â,Destroy,÷ò?ª¹ªë,İÂú°,Ş×Ñ¥,Gegenstand entsorgen,Destruir,Destruir,¬µ¬ß¬Ú¬é¬ä¬à¬Ø¬Ú¬ä¬î,Wyrzu? ten przedmiot,Supprimer
label/inventory/swapSkillOrder,,½ºÅ³ ¼ø¼­ º¯°æ,Change Skill Order,«¹«­«ëªÎâ÷Ûã?ÌÚ,ËÇ?ĞüÒö?ßí,Ü¨ÌÚĞüÒöâ÷ßí,Reihenfolge der Fertigkeiten andern,Orden de habilidades,Alterar ordem de habilidade,¬ª¬Ù¬Ş¬Ö¬ß¬Ú¬ä¬î ¬á¬à¬â¬ñ¬Õ¬à¬Ü ¬ß¬Ñ¬Ó¬í¬Ü¬à¬Ó,Zmie? porz?dek umiej?tno?ci,Modifier l'ordre des competences
label/inventory/viewDetail,,ÀÚ¼¼È÷,Details,ßÙá¬ªòÌ¸ªë,?ï×,ßÙá¬Ò®é»,Details,Detalles,Detalhes,¬±¬à¬Õ¬â¬à¬Ò¬ß¬à¬ã¬ä¬Ú,Szczego©©y,Details
label/itemSelect/changeItem,,¾ÆÀÌÅÛ ±³Ã¼ÇÏ±â,Swap Item,«¢«¤«Æ«àªòÎßüµª¹ªë,ÌÚ?Ô³Îı,ôğüµÔ³Îı,Gegenstand tauschen,Intercambiar objeto,Alternar item,¬±¬à¬Ş¬Ö¬ß¬ñ¬ä¬î ¬á¬â¬Ö¬Õ¬Ş¬Ö¬ä,Zamie? przedmiot,Echanger l'objet
label/skip,,°Ç³Ê¶Ù±â,Skip,«¹«­«Ã«×,Ô¯?,Ô¯Î¦,Uberspringen,Omitir,Pular,¬±¬â¬à¬á¬å¬ã¬ä¬Ú¬ä¬î,Omi?,Passer
label/skulstory/skipConfirm,,ÀÌ¾ß±â¸¦ ³¡¸¶Ä¡½Ã°Ú½À´Ï±î?,Do you wish to stop the story?,«¹«È?«ê?ªòğûÖõª·ªŞª¹ª«£¿,é©?áÖÍºŞÀ?£¿,é©Ì¿áÖÓßü¥?£¿,Mochtest du die Geschichte anhalten?,¢¯Quieres omitir la historia?,Voce deseja parar a historia?,¬°¬ã¬ä¬Ñ¬ß¬à¬Ó¬Ú¬ä¬î ¬ã¬ğ¬Ø¬Ö¬ä?,Czy chcesz zatrzyma? opowie???,Veux-tu vraiment interrompre l'histoire ?
label/unlocked,,Àá±İÇØÁ¦ ¿Ï·á!,Unlocked!,«í«Ã«¯ú°ğ¶èÇÖõ£¡,ì«à÷Ííú°?£¡,ì«ú°áğ£¡,Freigeschaltet!,¢®Desbloqueado!,Desbloqueado!,¬°¬ä¬Ü¬â¬í¬ä¬à!,Odblokowano!,Debloque?!
# UI Interaction Label,,,,,,,,,,,,
label/interaction/talk,,´ëÈ­ÇÏ±â,Talk,ü¥ª¹,??,Óßü¥,Reden,Hablar,Falar,¬±¬à¬Ô¬à¬Ó¬à¬â¬Ú¬ä¬î,Rozmawiaj,Parler
label/interaction/loot,,Áİ±â,Pick Up,ã¦ª¦,ã¦ö¢,?ã¦,Aufheben,Recoger,Pegar,¬£¬Ù¬ñ¬ä¬î,Podnie?,Ramasser
label/interaction/purchase,,±¸¸ÅÇÏ±â ({0}),Buy ({0}),ÏÅìıª¹ªë({0}),?? ({0}),ÏÅØâ£¨{0}£©,Kaufen ({0}),Comprar ({0}),Comprar ({0}),¬¬¬å¬á¬Ú¬ä¬î ({0}),Kup ({0}),Acheter ({0})
label/interaction/purchase/onlytext,,±¸¸ÅÇÏ±â ,Buy ,ÏÅìıª¹ªë,?? ,ÏÅØâ,Kaufen ,Comprar ,Comprar ,¬¬¬å¬á¬Ú¬ä¬î ,Kup ,Acheter 
label/interaction/enter,,µé¾î°¡±â,Enter,ìıªë,?ìı,òäìı,Betreten,Entrar,Inserir,¬£¬à¬Û¬ä¬Ú,Wejd?,Entrer
label/interaction/search,,»ìÆìº¸±â,Check,ğàªÙªë,?Ê×,?Ê×,Durchsuchen,Inspeccionar,Conferir,¬³¬Ş¬à¬ä¬â¬Ö¬ä¬î,Sprawd?,Inspecter
label/interaction/release,,Ç®¾îÁÖ±â,Release,Û¯ª¹,?Û¯,à·Û¯,Befreien,Liberar,Soltar,¬°¬ã¬Ó¬à¬Ò¬à¬Õ¬Ú¬ä¬î,Uwolnij,Liberer
label/interaction/blessing,,Ãàº¹¹Ş±â,Bless,õæÜØªòªâªéª¦,õæÜØ,õæÜØ,Segnen,Santificar,Santificar,¬¢¬İ¬Ñ¬Ô¬à¬ã¬İ¬à¬Ó¬Ú¬ä¬î,Pob©©ogos©©aw,Sanctifier
label/interaction/destroy,,ÆÄ±«ÇÏ±â,Destroy,?ª¹,÷ò?,÷òÎÕ,Zerstoren,Destruir,Destruir,¬µ¬ß¬Ú¬é¬ä¬à¬Ø¬Ú¬ä¬î,Zniszcz,Detruire
label/interaction/cleansing,,Á¤È­ÇÏ±â,Cleanse,?ûùª¹ªë,?ûù,ïäûù,Saubern,Purificar,Limpar,¬°¬é¬Ú¬ã¬ä¬Ú¬ä¬î,Oczy??,Se purifier
label/interaction/refresh,,ÀçÀÔ°í,Restock,î¢ìıÍ·,ñìãæ??,ñìãæòäü§,Auffullen,Renovar,Reabastecer,¬°¬Ò¬ß¬à¬Ó¬Ú¬ä¬î,Uzupe©©nij,Reapprovisionner
label/interaction/replace,,±³Ã¼ÇÏ±â,Replace,Îßôğª¹ªë,ÌÚ?,ôğüµ,Ersetzen,Sustituir,Substituir,¬©¬Ñ¬Ş¬Ö¬ß¬Ú¬ä¬î,Wymie?,Remplacer
# UI Healthbar,,,,,,,,,,,,
label/healthbar/tutorial/name,,¸ó°¥,Mongal,«â«ó«¬«ë,ÙÕÊ¥?,ÙÕÎş,Mongal,Mongal,Mongal,¬®¬à¬ß¬Ô¬Ñ¬İ,Mongal,Mongal
label/healthbar/tutorial/title,,¿À¿ì°Å,Ogre,«ª?«¬,ãİìÑØª,ãİìÑØª,Oger,Ogro,Ogro,¬°¬Ô¬â,Ogr,Ogre
label/healthbar/chapter1/name,,À§±×µå¶ó½Ç,Yggdrasil,«æ«°«É«é«·«ë,ßæÙ¤ñı?,á¦Í£ñıâ§,Yggdrasil,Yggdrasil,Yggdrasil,¬ª¬Ô¬Ô¬Õ¬â¬Ñ¬ã¬Ú¬İ,Yggdrasil,Yggdrasil
label/healthbar/chapter1/title,,Àå·Î¿£Æ®,Elder Ent,íşÖÕ«¨«ó«È,?ïñ?ÖÕ,íşÖÕâ§ìÑ,Ent-Altester,Ent anciano,Ent anciao,¬³¬ä¬Ñ¬â¬ê¬Ú¬Û ¬ï¬ß¬ä,Starszy Ent,Ent ancien
label/healthbar/chapter2/name,,·¹ÀÌ¾Æ³ª ÀÚ¸Å,Leiana Sisters,«ì«¤«¢«Êí«ØÙ,?äÌÑÖî»ØÙ,ÕÑäÌÑÖî»ØÙ,Leiana-Schwestern,Hermanas Leiana,Irmas Leiana,¬³¬×¬ã¬ä¬â¬í ¬­¬Ö¬ñ¬ß¬í,Siostry Leiana,S©«urs Leiana
label/healthbar/chapter2/title,,È²±İ°¥±â±â»ç´Ü ºÎ°ü,Gold Mane Knights Adjutants,?ÑÑªÎ?ÑÈŞÍ?ªÎÜùÎ¯,?ÑÑ??ŞÍ?ÜùÎ¯,ÑÑ?ÑÈŞÍÓ¥ÜùÎ¯,Adjutant der Goldmahnenritter,Adjuntas de la Melena Dorada,Ajudantes dos Cavaleiros da Crina Dourada,¬¡¬Õ¬ì¬ğ¬ä¬Ñ¬ß¬ä¬í ¬â¬í¬è¬Ñ¬â¬Ö¬Û ¬©¬à¬İ¬à¬ä¬à¬Û ¬¤¬â¬Ú¬Ó¬í,Giermkowie Rycerzy Z©©otogrzywych,Officieres de l'ordre de la Criniere d'or
label/healthbar/chapter2/awaken/name,,°¢¼ºÇÑ ·¹ÀÌ¾Æ³ª,Awakened Leiana,?á¥«ì«¤«¢«Ê,?á¥îÜ?äÌÑÖ,ÊÆá¥îÜÕÑäÌÑÖ,Leiana die Erweckte,Leiana despertada,Leiana despertada,¬±¬â¬à¬Ò¬å¬Ø¬Õ¬Ö¬ß¬ß¬Ñ¬ñ ¬­¬Ö¬ñ¬ß¬Ñ,Czuwaj?ca Leiana,Leiana eveillee
label/healthbar/chapter3/name,,Å°¸Ş¶ó,Chimera,«­«á«é,ĞôÚ¸ÕÃ,ĞôÚ¸ÕÃ,Schimare,Quimera,Quimera,¬·¬Ú¬Ş¬Ö¬â¬Ñ,Chimera,Chimere
label/healthbar/chapter3/title,,µÚÆ²¸° ¿©½Å,Distorted Goddess,äîªìªÊÒ³ãê,?ÍØîÜÒ³ãê,?ÍØîÜÒ³ãê,Entstellte Gottin,Diosa distorsionada,Deusa distorcida,¬ª¬ã¬Ü¬Ñ¬Ø¬Ö¬ß¬ß¬Ñ¬ñ ¬Ò¬à¬Ô¬Ú¬ß¬ñ,Krzywa Bogini,Deesse distordue
label/healthbar/chapter4/name,,¼º ¿äÇÑ³ª 2¼¼,St. Joan II,á¡«è«Ï«ó«Ê2á¦,??ù×ÑÖ2á¦,á¡ÌáäÌì£á¦,St. Joan II,San Juan II,Santa Joana II,¬³¬Ó¬ñ¬ä¬Ñ¬ñ ¬ª¬à¬Ñ¬ß¬ß¬Ñ II,?w. Joanna II,St Jehan II
label/healthbar/chapter4/title,,·¹¿À´Ï¾Æ ±³´Ü ´ëÁÖ±³,Archbishop of the Leonia Order,«ì«ª«Ë«¢??ÓŞñ«?,Öô?Òù???ÓŞñ«?,ÖôçóÒùä¬?Ó¥ÓŞñ«?,Erzbischofin des Leonia Ordens,Arzobispo de la Orden de Leonia,Arcebispo da Ordem da Leonia,¬¡¬â¬ç¬Ú¬Ö¬á¬Ú¬ã¬Ü¬à¬á ¬à¬â¬Õ¬Ö¬ß¬Ñ ¬­¬Ö¬à¬ß¬Ú¬Ú,Arcybiskup Zakonu Leonii,Archeveque de l'Ordre de Leonie
label/healthbar/chapter5/name,,ÃÊ´ë ¿ë»ç,First Hero,ôøÓÛé¸íº,ôøÓÛé¸ŞÍ,ğ¯ìéÓÛé¸ŞÍ,Erster Held,Primer heroe,Primeiro Heroi,¬±¬Ö¬â¬Ó¬í¬Û ¬Ô¬Ö¬â¬à¬Û,Pierwszy Bohater,Premier heros
label/healthbar/chapter5/title,,Ä®·¹¿ÂÀÇ °Ë,The Sword of Carleon,««?«ê«¢«óªÎ?,?××ëÚîÜ?,?×ÃîÜËü,Das Schwert von Carleon,La Espada de Carleon,A Espada de Carleon,¬®¬Ö¬é ¬¬¬Ñ¬â¬İ¬Ö¬à¬ß¬Ñ,Miecz Carleonu,L'Epee de Caerleon
label/healthbar/veteran/hero/name,,°ß½À ¿ë»ç,Hero Apprentice,Ì¸ã§ª¤é¸íº,??é¸ŞÍ,Ì¸ã§é¸ŞÍ,Apprentice Hero,Heroe aprendiz,Heroi Aprendiz,¬µ¬é¬Ö¬ß¬Ú¬Ü ¬Ô¬Ö¬â¬à¬ñ,Pocz?tkuj?cy heros,Heros apprenti
label/healthbar/veteran/hero/title,,Ä®·¹¿ÂÀÇ Èñ¸Á,Carleon's Hope,««?«ê«¢«óªÎıñØĞ,?××ëÚîÜıñØĞ,?×ÃîÜıñØĞ,Hope of Carleon,La esperanza de Carleon,Esperanca de Carleon,¬¯¬Ñ¬Õ¬Ö¬Ø¬Õ¬Ñ ¬¬¬Ñ¬â¬İ¬Ö¬à¬ß¬Ñ,Nadzieja Carleonu,Espoir de Caerleon
label/healthbar/veteran/magician/name,,¸¶¹ı»ç,Mage,ØªÛöŞÅª¤,ØªÛö?,ØªÛöŞÔ,Mage,Mago,Mago,¬®¬Ñ¬Ô,Mag,Magicienne
label/healthbar/veteran/magician/title,,Ä®·¹¿ÂÀÇ ºĞ³ë,Carleon's Rage,««?«ê«¢«óªÎÒÁªê,?××ëÚîÜ?ÒÁ,?×ÃîÜİÉÒÁ,Rage of Carleon,La rabia de Carleon,Danacao de Carleon,¬Á¬â¬à¬ã¬ä¬î ¬¬¬Ñ¬â¬İ¬Ö¬à¬ß¬Ñ,Gniew Carleonu,Rage de Caerleon
label/healthbar/veteran/cleric/name,,»çÁ¦,Cleric,ŞÉğ®,ŞÉğ®,ŞÉğ®,Cleric,Clerigo,Clerigo,¬¬¬İ¬Ú¬â¬Ú¬Ü,Kleryk,Pretresse
label/healthbar/veteran/cleric/title,,Ä®·¹¿ÂÀÇ ÀºÃÑ,Carleon's Grace,««?«ê«¢«óªÎ?ªß,?××ëÚîÜëÚ?,?×ÃîÜëÚõÁ,Grace of Carleon,La gracia de Carleon,Graca de Carleon,¬¢¬İ¬Ñ¬Ô¬à¬Õ¬Ñ¬ä¬î ¬¬¬Ñ¬â¬İ¬Ö¬à¬ß¬Ñ,Chwa©©a Carleonu,Grace de Caerleon
label/healthbar/veteran/warrior/name,,Àü»ç,Warrior,?ŞÍ,?ŞÍ,îúŞÍ,Warrior,Guerrero,Guerreiro,¬£¬à¬Ú¬ß,Wojownik,Guerrier
label/healthbar/veteran/warrior/title,,Ä®·¹¿ÂÀÇ Á¤ÀÇ,Carleon's Justice,««?«ê«¢«óªÎïáëù,?××ëÚîÜïá?,?×ÃîÜïáëù,Justice of Carleon,La justicia de Carleon,Justica de Carleon,¬±¬â¬Ñ¬Ó¬à¬ã¬å¬Õ¬Ú¬Ö ¬¬¬Ñ¬â¬İ¬Ö¬à¬ß¬Ñ,Sprawiedliwy Carleonu,Justice de Caerleon
label/healthbar/veteran/archer/name,,»ç³É²Û,Hunter,â­ìÑ,â­?íº,â­Ö´íº,Hunter,Cazador,Cacador,¬°¬ç¬à¬ä¬ß¬Ú¬Ü,¨©owca,Chasseuse
label/healthbar/veteran/archer/title,,Ä®·¹¿ÂÀÇ ¹Ù¶÷,Carleon's Wind,««?«ê«¢«óªÎù¦,?××ëÚîÜ?,?×ÃîÜù¦,Wind of Carleon,Viento de Carleon,Vento de Carleon,¬£¬Ö¬ä¬Ö¬â ¬¬¬Ñ¬â¬İ¬Ö¬à¬ß¬Ñ,Wicher Carleonu,Vent de Caerleon
label/healthbar/veteran/thief/name,,µµÀû,Thief,?îä,??,Ô¨îä,Thief,Ladron,Ladrao,¬£¬à¬â,Z©©odziej,Voleur
label/healthbar/veteran/thief/title,,Ä®·¹¿ÂÀÇ ¾îµÒ,Carleon's Shadow,««?«ê«¢«óªÎäá,?××ëÚîÜıÙäŞ,?×ÃîÜıÙäŞ,Shadow of Carleon,Sombra de Carleon,Sombra de Carleon,¬´¬Ö¬ß¬î ¬¬¬Ñ¬â¬İ¬Ö¬à¬ß¬Ñ,Cie? Carleonu,Ombre de Caerleon
# Game result UI,,,,,,,,,,,,
label/gameResult/title,,»ê»êÁ¶°¢ ³µ½À´Ï´Ù!,Shattered!,İÏ?ªËªÊªêªŞª·ª¿£¡,??áïø¸£¡,ŞÌİÂçéÖ®Öõ£¡,Zerschmettert!,¢®Destrozado!,Estilhacado!,¬£¬í ¬ã¬à¬Ü¬â¬å¬ê¬Ö¬ß¬í!,Zniszczony!,Brise !
label/gameResult/subTitle,,´ç½ÅÀº ÀûÀÇ °æÇèÄ¡°¡ µÇ¾ú½À´Ï´Ù!!,The enemy gained EXP from your defeat.,ª¢ªÊª¿ªÏîØªÎ??ö·ªËªÊªêªŞª·ª¿£¡,?ì«à÷??Û°îÜ???£¡£¡,?ì«Ìèà÷?îØìÑîÜÌèúĞ?Öõ£¡£¡,Durch deine Niederlage hat der Gegner EP erhalten.,El enemigo ha obtenido EXP por tu derrota.,O inimigo obteve EXP de sua derrota.,¬£¬â¬Ñ¬Ô ¬á¬à¬İ¬å¬é¬Ú¬İ ¬à¬á¬í¬ä ¬á¬à¬ã¬İ¬Ö ¬Ó¬Ñ¬ê¬Ö¬Ô¬à ¬á¬à¬â¬Ñ¬Ø¬Ö¬ß¬Ú¬ñ.,Dzi?ki Twojej pora?ce wrog zwi?kszy©© swoje do?wiadczenie.,L'ennemi a gagne de l'EXP pour ta defaite.
label/gameResult/playTime,,ÇÃ·¹ÀÌ Å¸ÀÓ,Playtime,«×«ì«¤«¿«¤«à,êı???,ë´?ãÁÊà,Spielzeit,Tiempo de juego,Tempo de jogo,¬£¬â¬Ö¬Ş¬ñ ¬Ú¬Ô¬â¬í,Czas gry,Temps de jeu
label/gameResult/deaths,,Á×Àº È½¼ö,Deaths,ŞİªóªÀüŞ?,ŞİØÌó­?,ŞİØÌó­â¦,Tode,Muertes,Mortes,¬³¬Ş¬Ö¬â¬ä¬Ö¬Û,Zgony,Mort(s)
label/gameResult/kills,,¹°¸®Ä£ Àû,Enemies Defeated,Óîª·ª¿îØ,??îÜ?ìÑ,Ìª÷ÜîÜîØìÑ,Gegner besiegt,Enemigos derrotados,Inimigos derrotados,¬£¬â¬Ñ¬Ô¬à¬Ó ¬å¬Ò¬Ú¬ä¬à,Pokonani wrogowie,Ennemi(s) vaincu(s)
label/gameResult/eliteKills,,Ã³Ä¡ÇÑ ¸ğÇè°¡,Adventurers Defeated,÷Üö½ª·ª¿Ù³?Ê«,á¼?îÜÙ³?Ê«,á¼ØşîÜÙ³úÏÊ«,Abenteurer besiegt,Aventureros derrotados,Aventureiros derrotados,¬¤¬Ö¬â¬à¬Ö¬Ó ¬å¬Ò¬Ú¬ä¬à,Pokonani awanturnicy,Aventurier(s) vaincu(s)
label/gameResult/darkcites,,¾òÀº ¸¶¼®,Dark Quartz Earned,üòÔğª·ª¿Øªà´,?ÔğîÜØªà´,ÔğÓğîÜØªà´,Dunklen Quarz erhalten,Cuarzo oscuro obtenido,Quartzo negro obtido,¬´¬Ö¬Ş¬ß¬à¬Ô¬à ¬Ü¬Ó¬Ñ¬â¬è¬Ñ ¬á¬à¬İ¬å¬é¬Ö¬ß¬à,Zdobyty czarny kryszta©©,Quartz noir gagne
label/gameResult/yourEnemy,,»ç¸Á ¿øÀÎ,Cause of Death,ŞİØÌ×âë¦,ŞİØÌê«ì×,Şİì×,Todesursache,Causa de muerte,Causa da morte,¬±¬â¬Ú¬é¬Ú¬ß¬Ñ ¬ã¬Ş¬Ö¬â¬ä¬Ú,Przyczyna zgonu,Cause de la mort
label/gameResult/returnToCastle,,¸¶¿Õ¼ºÀ¸·Î µ¹¾Æ°¡±â,Return to the Castle,ØªèİªÎàòªË?ªë,Ú÷üŞØªèİàò,üŞÓğØªèİàò,Zuruck zum Schloss,Volver al castillo,Retornar ao castelo,¬£¬Ö¬â¬ß¬å¬ä¬î¬ã¬ñ ¬Ó ¬Ù¬Ñ¬Ş¬à¬Ü,Wracaj na zamek,Retourner au chateau
label/gameResult/ending/title,,ÇØ³Â½À´Ï´Ù!,You did it!,à÷Ííª·ªŞª·ª¿£¡,?à÷ÍíÖõ£¡,÷ıÓğÖõ£¡,Du hast es geschafft!,¢®Lo lograste!,Voce conseguiu!,¬£¬í ¬ã¬á¬â¬Ñ¬Ó¬Ú¬İ¬Ú¬ã¬î!,Uda©©o ci si?!,Tu as reussi !
label/gameResult/ending/subTitle,,´ç½ÅÀº ÁøÁ¤ÇÑ ¿µ¿õÀÔ´Ï´Ù!,You are a true hero!,ª¢ªÊª¿ªÏÜâ?ªÎçÈê©ªÇª¹£¡,?ãÀ?ïáîÜçÈê©£¡,?ãÀ?ïáîÜçÈê©£¡,Du bist ein wahrer Held!,¢®Eres un heroe de verdad!,Voce e um verdadeiro heroi!,¬£¬í ¬ß¬Ñ¬ã¬ä¬à¬ñ¬ë¬Ú¬Û ¬Ô¬Ö¬â¬à¬Û!,Jeste? prawdziwym bohaterem!,Tu es un vrai heros !
label/gameResult/ending/stageName,,ÁıÀ¸·Î!,Let's go home!,Ê«ªØ£¡,üŞÊ«£¡,üŞÊ«?£¡,Ab nach Hause!,¢®Vamos a casa!,Vamos para casa!,¬±¬à¬Û¬Õ¬Ö¬Ş ¬Õ¬à¬Ş¬à¬Û!,Idziemy do domu!,Rentrons a la maison !
# Pause UI,,,,,,,,,,,,
label/pause/menu/title,,ÀÏ½ÃÁ¤Áö,Pause,ìéãÁïÎò­,?ïÎ,íÕïÎ,Pause,Pausa,Pausar,¬±¬Ñ¬å¬Ù¬Ñ,Pauza,Pause
label/pause/menu/continue,,µ¹¾Æ°¡±â,Return,?ªë,Ú÷üŞ,Ú÷üŞ,Zuruck,Volver,Retornar,¬£¬Ö¬â¬ß¬å¬ä¬î¬ã¬ñ,Powrot,Retour
